Wall time,Step,Value
1607897912.249988,0,0.5271501541137695
1607897923.659726,1,0.6370527148246765
1607897934.77549,2,0.6575700044631958
1607897945.90328,3,0.6674789786338806
1607897956.974135,4,0.6728960871696472
1607897968.028665,5,0.6772265434265137
1607897978.538595,6,0.6807070970535278
1607897989.506087,7,0.6837303638458252
1607898000.225061,8,0.6861618757247925
1607898008.740229,9,0.6877703070640564
1607898016.267221,10,0.6900350451469421
1607898026.605539,11,0.6911378502845764
1607898037.165673,12,0.692057728767395
1607898047.243146,13,0.6941879987716675
1607898058.396612,14,0.6949357986450195
1607898069.482424,15,0.6962806582450867
1607898080.530553,16,0.6978568434715271
1607898091.511141,17,0.6977546215057373
1607898102.611248,18,0.6991263628005981
1607898113.581517,19,0.6998418569564819
1607898124.812486,20,0.7005734443664551
1607898135.833159,21,0.7009446620941162
1607898147.199667,22,0.7016439437866211
1607898158.266372,23,0.7019990086555481
1607898169.363251,24,0.7030695080757141
1607898180.412694,25,0.7032255530357361
1607898191.474021,26,0.7040916085243225
1607898202.515158,27,0.7044681906700134
1607898213.595177,28,0.705151379108429
1607898224.659802,29,0.7055171728134155
1607898235.785667,30,0.7057861685752869
1607898246.799221,31,0.7051352262496948
1607898257.908842,32,0.7063617706298828
1607898268.90442,33,0.7063832879066467
1607898279.908002,34,0.7075237035751343
1607898290.998396,35,0.707131028175354
1607898302.291089,36,0.7073945999145508
1607898313.420657,37,0.7084866762161255
1607898324.491418,38,0.7079917192459106
1607898335.697859,39,0.7087717652320862
1607898346.590873,40,0.7080078721046448
1607898357.83609,41,0.7088309526443481
1607898368.683635,42,0.7094764709472656
1607898379.966056,43,0.7105846405029297
1607898390.893728,44,0.7097830772399902
1607898402.038061,45,0.710261881351471
1607898412.599193,46,0.7107352614402771
1607898423.640743,47,0.7113807797431946
1607898434.718256,48,0.7115529179573059
1607898445.669692,49,0.7117627263069153
1607898456.705942,50,0.7117735147476196
1607898467.765341,51,0.7122522592544556
1607898478.686649,52,0.71285480260849
1607898489.729599,53,0.7128493785858154
1607898500.77748,54,0.7128763198852539
1607898511.850436,55,0.7130484580993652
1607898522.794683,56,0.7132905125617981
1607898533.797353,57,0.7134680151939392
1607898544.808895,58,0.713769257068634
1607898555.956502,59,0.7131721377372742
1607898566.97718,60,0.7137370109558105
1607898578.070838,61,0.7144847512245178
1607898589.31632,62,0.7146568894386292
1607898600.403976,63,0.7152916789054871
1607898611.642166,64,0.7151033878326416
1607898622.569275,65,0.7156467437744141
1607898633.676257,66,0.7148236632347107
1607898644.683089,67,0.7152808904647827
1607898655.736422,68,0.7151894569396973
1607898666.779594,69,0.7159156799316406
1607898677.703879,70,0.7159210443496704
1607898688.765287,71,0.7162707448005676
1607898699.874092,72,0.7160770893096924
1607898708.777491,73,0.7164105772972107
1607898719.841702,74,0.716937780380249
1607898730.176975,75,0.7167817950248718
1607898739.720967,76,0.7172121405601501
1607898750.712453,77,0.7173143625259399
1607898761.612113,78,0.7180244326591492
1607898772.661876,79,0.7169646620750427
1607898783.561355,80,0.7176048755645752
1607898794.618389,81,0.7182019948959351
1607898805.543208,82,0.7180567383766174
1607898816.485575,83,0.7188313603401184
1607898827.562809,84,0.7180137038230896
1607898838.630897,85,0.7183203101158142
1607898849.594142,86,0.7186538577079773
1607898860.530013,87,0.719353199005127
1607898871.51915,88,0.7194177508354187
1607898882.556472,89,0.7192832231521606
1607898893.565841,90,0.7197458744049072
1607898904.691419,91,0.7199233770370483
1607898915.990133,92,0.7198964953422546
1607898927.029434,93,0.7200901508331299
1607898938.113422,94,0.7197566032409668
1607898949.087173,95,0.7202838063240051
1607898960.046204,96,0.7207249402999878
1607898971.008853,97,0.7198265790939331
1607898982.002132,98,0.7205312848091125
1607898992.872419,99,0.7207303047180176
