Wall time,Step,Value
1607895687.7703,0,0.89114910364151
1607895690.907155,1,0.4716044068336487
1607895693.938339,2,0.40197718143463135
1607895696.756248,3,0.36848583817481995
1607895699.865685,4,0.3474574685096741
1607895702.934765,5,0.33127903938293457
1607895706.031378,6,0.31946200132369995
1607895709.055755,7,0.3094070851802826
1607895712.205181,8,0.30008527636528015
1607895715.150719,9,0.2925513684749603
1607895718.252199,10,0.28610143065452576
1607895721.344737,11,0.2814790904521942
1607895724.56583,12,0.27518993616104126
1607895727.492894,13,0.27105477452278137
1607895730.621966,14,0.2666783332824707
1607895733.863299,15,0.26202288269996643
1607895736.727109,16,0.25799620151519775
1607895739.839916,17,0.2545740008354187
1607895742.57952,18,0.2504001557826996
1607895744.796334,19,0.24798931181430817
1607895747.092224,20,0.2455669790506363
1607895749.238964,21,0.2415785938501358
1607895751.400091,22,0.24023157358169556
1607895753.576514,23,0.23738256096839905
1607895755.773024,24,0.23538033664226532
1607895758.784854,25,0.2335660755634308
1607895761.658281,26,0.22981072962284088
1607895764.069428,27,0.2282899171113968
1607895767.177297,28,0.22627560794353485
1607895769.817803,29,0.22514332830905914
1607895772.882342,30,0.22206060588359833
1607895775.737637,31,0.22078658640384674
1607895778.923057,32,0.219330295920372
1607895782.05852,33,0.216964989900589
1607895784.851968,34,0.21514707803726196
1607895787.821633,35,0.2146477848291397
1607895790.702565,36,0.2121298462152481
1607895793.772268,37,0.21071039140224457
1607895796.614524,38,0.21023301780223846
1607895799.758068,39,0.20716245472431183
1607895802.787423,40,0.20612174272537231
1607895805.662712,41,0.2059450000524521
1607895808.574387,42,0.20374402403831482
1607895811.628143,43,0.20247049629688263
1607895814.623744,44,0.20102451741695404
1607895817.601644,45,0.20038574934005737
1607895820.619961,46,0.19876615703105927
1607895823.712487,47,0.19856563210487366
1607895826.362016,48,0.1962379515171051
1607895829.452434,49,0.19609202444553375
1607895832.315775,50,0.19440487027168274
1607895835.383619,51,0.1939932107925415
1607895838.194311,52,0.19294454157352448
1607895841.263976,53,0.1926986128091812
1607895844.082633,54,0.19043827056884766
1607895846.873125,55,0.18895728886127472
1607895849.548049,56,0.18943659961223602
1607895851.921754,57,0.18744538724422455
1607895854.597097,58,0.1866980940103531
1607895857.550006,59,0.18557105958461761
1607895860.457656,60,0.18458077311515808
1607895863.525402,61,0.18516306579113007
1607895866.584431,62,0.1828104704618454
1607895869.430979,63,0.1815832555294037
1607895872.512713,64,0.18238921463489532
1607895875.350936,65,0.18078216910362244
1607895878.351125,66,0.17859122157096863
1607895881.191044,67,0.17911310493946075
1607895884.422556,68,0.1783808171749115
1607895887.494258,69,0.17814096808433533
1607895890.297211,70,0.17692087590694427
1607895893.399936,71,0.17556777596473694
1607895896.055415,72,0.17548030614852905
1607895899.111755,73,0.1752976030111313
1607895901.9136,74,0.17402634024620056
1607895904.998374,75,0.1732771396636963
1607895907.974442,76,0.17263208329677582
1607895910.98115,77,0.17219416797161102
1607895913.829976,78,0.17009109258651733
1607895916.56372,79,0.1701384335756302
1607895919.561007,80,0.17009834945201874
1607895922.370411,81,0.16999369859695435
1607895925.510555,82,0.16925057768821716
1607895928.305477,83,0.1684134602546692
1607895931.112265,84,0.16777639091014862
1607895934.058191,85,0.16602471470832825
1607895937.048593,86,0.16557057201862335
1607895940.09327,87,0.16576005518436432
1607895942.862612,88,0.16606399416923523
1607895945.878714,89,0.16511467099189758
1607895948.505578,90,0.16328181326389313
1607895951.454099,91,0.16332460939884186
1607895954.257698,92,0.16272929310798645
1607895957.296715,93,0.1645525097846985
1607895959.952943,94,0.1617000550031662
1607895962.32843,95,0.16157349944114685
1607895965.040789,96,0.16156744956970215
1607895967.958135,97,0.15996786952018738
1607895971.049334,98,0.15916000306606293
1607895973.918232,99,0.15845680236816406
